id,created,updated,title,content,tags,product,topic,locale
1261188,1559864511,1559864992,how do I get the Bookmark side bar from my page?,"<p>I do not want the Bookmark side bar on my page.  I want it on my toolbar only.
</p>",firefox-670;customize;desktop;windows-8;,firefox,customize,en-US
1261187,1559864891,1559880526,Stoped recieving emails from my website & outgoing messages are written in large script.,"<p>A few months back I stopped receiving emails from my website. 
I checked with my web designer and he says it's sending correctly. 
I checked my ""Blocked Emails"" and it's not there. 
I entered the address to my ""Accept Emails"". 
Still, when we send emails from the ""Contact Page"" of my website and it shows that it is sent out correctly to my email address, which is a "".com"" address, doesn't come to my Inbox nor my Junk/Spam box. 
</p><p>Also, for some strange reason, my ""Outgoing"" emails that i type to others, is in large script font. I have no idea what is happening with that. I have triple checked my settings. 
</p><p>I want to know why i can't get a customer rep from Firefox to respond to me. I have been complaining and scoring low satisfaction etc... to try to get a response, but ZERO. 
</p><p>Please help, i can't run my business like this. I'm frustrated!
</p>",firefox-670;other;desktop;windows-10;email;,firefox,other,en-US
1261186,1559864201,1559867727,"Where did my history go?  You all should have NOTIFIED us that we would need to prepare for your drastic change, it is difficult not having prior notice.","<p>This was so unfair to make these drastic changes without prior notice.  My entire history is gone and I lost a day with clients trying to retrieve my Bookmarks.  This will cause many people to not want to donate to you all ever if we are going to be treated like this.  My allegiance was full on, without question for Mozilla Firefox, but after this stunt, I can no longer pitch Mozilla Firefox the best above the rest.  NOTHING IS THE SAME.  And Why do I have to SIGN IN EACH AND EVERY TIME?  No longer user friendly.
</p>",firefox-670;bookmarks;desktop;mac-os;,firefox,bookmarks,en-US
1261185,1559864000,1559870061,Keep getting messages to upgrade Firefox but it IS updated.,"<p>~ Hi, 
I keep getting messages to update Firefox before June 30 - but it IS up to date.  I removed app and reinstalled, but am still getting the message.  I contacted one of the websites associated with the message and they said they cannot see that I'm connected to them.  But when I use Safari, they can see that I'm connected.  
These are the two I remember giving the message.  
- Ebay
- Snapfish 
Please advise how to solve the problem.
</p>",other;desktop;,firefox,other,en-US
1261184,1559863518,1559863518,Blank white window,"<p>So I recently updated my Firefox on multiple devices (Windows, Linux, Mac).  Recently with the update to 67, periodically when I launch the browser it will just show a blank white page and the address bar just says ""search with Google or enter address.""  I can hit the home button and it takes me to my home page.  Other times when I launch Firefox it works without issue and takes me directly to my home page.  I have browser.startup.blankWindow set to ""false"" in ""about:config,""  but issue still randomly occurs.  Again, this is multiple computers and multiple OSes all encountering this issue.  Yes, some have some add-ons/extensions, but others do not and there doesn't seem to be any pattern that I can discern.  Anyone else encountering this? Any fix short of uninstalling/reinstalling Firefox.  Worked just fine up through 66 (would prefer not to revert back).
-Thanks
</p>",firefox-670;other;desktop;mac-os;,firefox,other,en-US
1261183,1559862421,1559862889,Somebody stole all of my icons on my home page.,"<p>After years and years of trial and error I finally, (I said finally) got my home page like I want it; with 3 top rows of icons of allllll of the places I regularly visit. Icons may be a incorrect term. It's a little square picture with a <em>f</em> on it and when I wanna go to Facebook I just click on that little square <em>f</em> and go straight to Facebook. Ain't that neat. Well, this morning when I logged in, two of the rows were gone the row that's remaining the squares keep moving around. Anyway, I want my 3 rows back and locked in place like it was yesterday. Probably never happen, huh?
</p>",firefox-670;firefox-6701;customize;desktop;windows-10;,firefox,customize,en-US
1261182,1559861612,1559879620,Why doesn't printing use the default printer?,"<p>This bug has been here for ages and having to do periodic resets using about:config every time it goes pair shaped is a bloody annoying time waster. Could someone spend 5 minutes to fix it so it works like every other windows program in the universe that accesses a printer???
</p>",firefox-670;customize;desktop;windows-10;,firefox,customize,en-US
1261180,1559859097,1559860001,Leave tabs in place,"<p>I have Win 10 and Firefox67.0.1.  I understand that Firefox has done away with tabbed browsing because some users kept so many tabs open that their memory usage became excessive.  I wanted to be able to keep a few tabs open while browsing (email, weather and a few other sites).  I tried using the Pin Tab feature but found it would not work for my email or NOAA, though it did work for one Firefox help site. I also tried changing the browser tab item in about:config. (See uploaded image).
I am in the process of slowly migrating to a more user friendly browser (Vivaldi), but before I change default browsers I thought I'd try one more time and ask if there is any way to restore the ability to keep a few tabs open in Firefox while browsing.  Thanks for any help.
</p>",firefox-670;tabs;desktop;windows-10;,firefox,tabs,en-US
1261179,1559859091,1559859924,"Firefox: Saving source URL in downloaded files, images?","<p>hi
FF should automatically save the original source www-URL into all files property.
Would'nt this be nice? :)
Where could i post my suggestion to developers?
thx
</p>",download-and-install_1;firefox-670;desktop;windows-10;,firefox,download-and-install,en-US
1261178,1559858472,1559858472,Firefox starts downloading before clicking OK?,"<p>hi
FF 67, Windows 10
It seems FF starts downloading files BEFORE clicking OK.
Sometimes i mean i can only click download AFTER the whole file already has been downloaded...
Why is that so?
How cann i stop this ""preloading""?
thx
</p>",download-and-install_1;firefox-670;desktop;windows-10;,firefox,download-and-install,en-US
1261177,1559858470,1559859984,Firefox resets all customization every time my computer restarts,"<p>The ""Customize..."" feature lets you move around icons and other things in Firefox's interface. When you apply these customizations, they *should* be saved in your browser, so that the next time you open Firefox, you have the same customizations you applied earlier. Whenever I restart my computer, these settings are completely reset to their defaults and I have to apply the same customizations every time. How do I fix this???
</p>",firefox-670;firefox-6701;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US
1261176,1559855840,1559861210,"Cannot print from Firefox. Have tried everything in this forum. Error ""An error occurred while printing"".","<p>I have literally tried everything that I've found about printing issues on this forum and even spoken to your team on Twitter. I don't know what to do. I would rather use Firefox over Chrome, but I don't have a choice. Is there anyone that can help??
</p>",firefox-670;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US
1261173,1559855526,1559860541,Get Out Web Aplikasi,"<p>Help Out Website
</p>",download-and-install_1;desktop;,firefox,download-and-install,en-US
1261172,1559855374,1559855374,Is Firefox ESR supported on Windows Server 2019?,"<p>I get an unsupported OS version when trying to install 60.7.0 on Windows Server 2019 (x64 and x32). I can't find any literature about ESR being supported on Windows Server at all (it just says Windows 7 and above). Is this not for use on Windows Server?
</p>",download-and-install_1;desktop;,firefox,download-and-install,en-US
1261169,1559854643,1559855551,Why doesn't firefox support custom scrollbars?,"<p>Tweetdeck for example looks horrible because it uses default white browser scroll bars.  ( <a href=""https://tweetdeck.twitter.com/"" rel=""nofollow"">https://tweetdeck.twitter.com/</a> )
</p><p>It's one of my primary reasons for not ditching chrome yet ( though I'll be forced to when they screw ad-blocking. )
</p><p>I know its a petty aesthetic reason but it really draws your eyes to your second monitor having random white bars in between the black layout.
</p><p>( Image doesnt seem to upload, so heres an imgur backup <a href=""https://imgur.com/a/LwUD2qn"" rel=""nofollow"">https://imgur.com/a/LwUD2qn</a> )
</p>",firefox-670;firefox-6701;customize;desktop;windows-10;,firefox,customize,en-US
1261168,1559853848,1559881008,"Flash player is not working. Updated and all needed allowed in add ons. Please, help!","<p>When trying to play from Web site (on line TV) - there is a message - Something is blocking Adobe flash from running. Updated Flash, Restarted the PC and checked all the Add ons options. 
Please, help!
</p>",firefox-670;privacy-and-security_1;desktop;windows-7;,firefox,privacy-and-security,en-US
1261167,1559853673,1559861172,Someone else is using my info,"<p>Someone has cloned my phone.  What do I do?
</p>",privacy-and-security_1;desktop;,firefox,privacy-and-security,en-US
1261164,1559851546,1559851546,Are you aware of the audio issues with firefox?,"<p>My audio in firefox is great starting out. But if i pause a video on youtube, fast forward or rewind the video the sound goes flat. Sometimes i can goto system menu and switch to my monitors speakers and then back to the 5.1 surround system i have and it will fix it. Now that fix doesnt work, the only way to get audio back is to shut down firefox and restart it. Sometimes starting firefox it tells me firefox is still running do i want to shut it down? I do shut it down and the audio comes back. THis has been this way for a wile and i have been testing different things on my system but every thing is pointing to firefox. Internet explorer/edge/chrome has no audio issues at all.
</p><pre>To explain a little more on what i mean , I can play a video on youtube or netflix/vudu etc etc and audio sounds good lots of bass treble highs lows and then it goes flat. NO bass/treble/highs/lows etc.
</pre>
<pre>what is odd also is my default speakers are set to my 5.1 surround sound and it will get changed to either my monitor speakers or a digital out port which i dont have anything hooked to. It is like firefox coding is getting confused on which set of speakers to play audio to and eventually gives up and settles for a default driver setting?
</pre>
<pre>It may be something other than firefox but as of now, i only get these issues if i use firefox. Thanks.
</pre>",firefox-670;other;desktop;windows-10;,firefox,other,en-US
1261163,1559851425,1559853842,My preferences keep resetting.,"<p>This has been happening for a while now. Whenever I turn on my laptop and go to open Firefox, it resets all of my preferences. This is starting to annoy me, especially with dealing with the homepage and setting things back to normal.
</p><p>I have gone through the steps listed in this article (<a href=""https://support.mozilla.org/en-US/kb/how-to-fix-preferences-wont-save"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/how-to-fix-preferences-wont-save</a>) but nothing works. I also keep getting the Privacy Notice update in another tab (<a href=""https://www.mozilla.org/en-US/privacy/firefox/"" rel=""nofollow"">https://www.mozilla.org/en-US/privacy/firefox/</a>) when I open Firefox as well, which is annoying as well. Would appreciate the help here.
</p>",firefox-670;firefox-6701;customize;desktop;windows-81;,firefox,customize,en-US
1261160,1559849511,1559849641,How do i become registered as a firefox developer?,"<p>There seems to be no official way to do so nor any documentation and the only info i can find says that I have to ask a question on the forum first. Is this really all there is to it?
</p>",firefox-670;other;desktop;windows-10;,firefox,other,en-US
1261157,1559848261,1559861269,Is anyone else having problems with at&t? I was able to switch between different firefox/yahoo accounts  by just clicking on that account.,"<p>on the account I wanted to go too. As of yesterday that came to an end. I can only get into a few of the accounts by signing into each account  with my password The remaining accounts I am locked out of for some reason. I contact at&amp;t but hung up on the person I was finally able to speak with as I could not understand a word she was  saying.
Any one else having this problem? Any suggestions on what I can do to get into my other accounts?
Thanks
</p>",firefox-670;other;desktop;mac-os;,firefox,other,en-US
1261156,1559847332,1559847332,"tenho uma impressora instalada em rede, quando vou imprimir nesta impressora o navegador fecha e nao imprime","<p>no Internet express funciona normal, e no edge tambem, só no mozzila e no chrome que nao funcionam
</p>",firefox-670;firefox-6701;desktop;fix-problems;windows-10;,firefox,fix-problems,pt-BR
1261155,1559846049,1559870737,"What is the meaning of a red triangle enclosing an exclamation point in the corner of a webpage icon on the ""top hits"" page?","<p>On my ""top hits"" icons page, three  sites (Huffington Post, Alternet and the Washington Post) are marked on the bottom with exclamation points inside red triangles. What does this mean?  I've continued to visit those sites &amp; I'm developing some weird problems on, not Firefox, but Thunderbird program.  I don't have an anti-virus program installed, on the recommendation over the years of several technicians.  Perhaps that information is outdated?
Thanks for your reply!  Barbara
</p>",firefox-670;other;desktop;mac-os-x-109;,firefox,other,en-US
1261152,1559845188,1559846106,my newly created account is locked out,"<p>I created a brand new Mozilla account using my email but when I tried to log in I got a message that said my confirmation email was returned and that my account is locked.  I never received a confirmation email from Mozilla to verify my account, and my email is valid.  Please help me verify/unlock my account.
</p>",firefox-670;sync;desktop;windows-81;,firefox,sync,en-US
1261151,1559845096,1559845096,Can't use drag & drop to change Google calendar times in FF,"<p>I know there is already a question for this in the forum but the recommended resolution was to restart in Safe Mode.  I did that and the problem persists.  
</p><p>Essentially, when I want to extend or reduce the time of a mtg in Google calendar using drag &amp; drop on the edge of the appt, the mouse won't release the appt on the new time and reverts to the old time again.  There is an ongoing discussion of this on the Google forums and it does appear to be only happening w/ FF.
</p><p><a href=""https://support.google.com/calendar/thread/3552906?hl=en"" rel=""nofollow"">https://support.google.com/calendar/thread/3552906?hl=en</a>
</p>",firefox-670;desktop;fix-problems;mac-os;,firefox,fix-problems,en-US
1261148,1559843851,1559861613,How can I remove a software bug that impacts Firefox on my Mac Air?,"<p>Symptoms are that pages and tabs are created when I do things like press links and invoke other actions with my cursor.  The most common page that opens up has as part of the name 360daily.  Tabs that open up always seem related to the tab I had just invoked some action with.
</p><p>Presently, I am running Version 67.0.1 (64 bit) on my Mac Air though I have had the problem before installing new versions (at least twice).  This has gone on for I think over a year anyway.
</p>",firefox-670;desktop;fix-problems;mac-os;,firefox,fix-problems,en-US
1261147,1559843406,1559843652,Multiples in task manager,"<p>Fired up the computer this AM and notice it was running slow and seems messed up, everything's lagging, so I opened up Task manager and saw all these multiple entries for
</p><pre>Seven FireFox.exe
</pre>
<p>Three NVidia Share,exe
Three Dropbox.exe
</p><p>and a few more multiples
</p><p>Please, what should I do about this??
</p>",firefox-670;firefox-6701;desktop;fix-problems;windows-7;,firefox,fix-problems,en-US
1261146,1559842656,1559851662,Can I save 2 logins for 1 site?,"<p>I subscribe to a website that displays and stores my photographs.  I have 2 accounts with that website. One for business and one personal.  Firefox will save the login information for one account only and Firefox's Saved Logins list does not permit a manual entry.   So in order to login to my second account, I must manually enter its info each time by typing over the saved info.  Anyway around this?
</p>",firefox-670;customize;desktop;windows-10;,firefox,customize,en-US
1261145,1559842495,1559851145,Firefox freezes three times a day (Windows 8). Hate this browser.,"<p>Firefox freezes three times a day (Windows 8). Hate this browser.
Good thing for you Chrome is just as crappy. Tech gets more complex and gets worse and worse. Congratulations.
</p><p><em>[Profanity removed by moderator. Please read <a href=""/en-US/kb/forum-rules-and-guidelines"" rel=""nofollow"">Forum rules and guidelines</a>, thanks.]</em>
</p><p>
</p>",firefox-670;desktop;fix-problems;windows-81;,firefox,fix-problems,en-US
1261143,1559841598,1559852651,How do I re-enabled an extremely important add on that was disabled by a Firefox version upgrade?,"<p>I had the two factor authenticator add-on installed in Firefox and a version update disabled that add-on. This add-on has CRITICAL information stored in it. How do I re-enable this add-on while retaining the data in the add-on? It would be nice to have a warning before a new version installed that it was going to do something like this...
</p>",customize;desktop;firefox-650;windows-7;,firefox,customize,en-US
1261142,1559840568,1559842185,Chrome is missing from the Import Settings And Data screen.,"<p>I am attempting to use the ""Import Settings and Data"" wizard to import data from Google Chrome (which is installed on this same computer), but Chrome does not appear on the list of browsers to Import from.
</p>",download-and-install_1;firefox-670;firefox-6701;desktop;windows-10;,firefox,download-and-install,en-US
1261141,1559839801,1559839801,A virtual/floating keyboard keeps appearing. How do I get rid of it?,"<p>This virtual/floating keyboard only appears when I use Firefox. Why and how do I get rid of it?
</p>",firefox-670;firefox-6701;customize;desktop;windows-81;,firefox,customize,en-US
1261140,1559839675,1559881268,Not starting second time,"<p>On windows 7 64bit firefox always starts fine first time after machine switch-on but recently (~ last 6 months since v65) restarting firefox a second time often (not always) causes nothing to appear on screen but task manager shows that it is running in the background. Today I tried restarting firefox in safe mode (after it exhibited the above behaviour and shutting it down in task manager) and it restarted fine. I then tried restarting firefox in normal mode and it again started ok. I've tried refreshing and reinstalling firefox, turned about:config/browser/tabs.remote.autostart to false but this is still happening intermittently. AdBlockPlus is the only extension installed, shockwave flash the only plugin.
</p>",firefox-670;firefox-6701;desktop;fix-problems;windows-7;,firefox,fix-problems,en-US
1261139,1559838950,1559855298,Unable to install add-ons,"<p>When I visit any Add-ons page, instead of the button to install the add-on, a button stating ""Only with Firefox - Get Firefox now"" appears. Clicking this button takes me to the Firefox download page.
</p><p>This is happening in Firefox, which just updated to the latest version (67.0.1) this morning.
</p>",firefox-670;firefox-6701;customize;desktop;windows-81;,firefox,customize,en-US
1261136,1559838065,1559852026,I accidently entered my age as '0' and now it won't let me create an account. How can I change this?,"<p>I opened up Firefox today and it suggested that I create an account. I tried to do this, but forgot to fill in the age field, so it automatically set my age as 0. I am 39, so old enough to have an account. But, if I try to go back to the create account page, it automatically redirects to a page that says 
""Cannot create account
You must meet certain age requirements to create a Firefox Account. ""
And I can't get back to the actual page.
</p><p>Is there a way to reset this?
</p><p>Thanks,
Abigale
</p>",firefox-670;privacy-and-security_1;desktop;windows-10;,firefox,privacy-and-security,en-US
1261135,1559837103,1559881445,Why don't photos load on ebay?,"<p>When I go to ebay no photos of items load. Why?
</p>",firefox-670;other;desktop;windows-10;,firefox,other,en-US
1261134,1559836980,1559846282,Can I restore cleared downloads?,"<p>So I just hit the ""clear down loads"" link instead of search downloads by mistake. I have not saved all of those downloads to my hard drive yet. Is there any way to restore that list?
</p>",firefox-670;other;desktop;windows-10;,firefox,other,en-US
1261133,1559836684,1559881632,Opening no startpages in another session?,"<p>Is it possible in Sync not to open my startpages in another session?
At home I like Firefox to open a couple of websites, but at work I would  just to start with the Intranet page of my company.
I Would like to keep my favorites.
</p><p>Can anyone help me?
</p>",firefox-670;sync;desktop;windows-10;,firefox,sync,en-US
1261132,1559835655,1559835655,Autofill password email validation error angular,"<p>Firefox 2. Login page. First you just login and browser ask you to save your credentials, second time you can just click on the field (ex. email) and everything works great till you press on the ""login"" button. The problem is, that validation cant see that fields was autofilled. This issue only in Firefox, in Chrome and Safari works great. How can I resolve it?
</p>",firefox-670;other;desktop;mac-os;,firefox,other,en-US
1261131,1559835226,1559835226,password not accepted even after confirmed reset,"<p>I bought a Amazon Fire 7 and used Mozilla link to bring in Firefox, which works..but I noticed it wouldn't accept my name /pw.  I went to one of many other computers, and its the same thing.  I requested user id confirm, and reset p/w about 10 times, but still telling me they aren't a valid combo.  WHy on earth does Firefox exist when they have no support for security issues?!!!?  I keep resetting p/w, and maybe once, it slipped and let me in!
</p>",firefox-670;desktop;mac-os;escalate;firefox-accounts;,firefox,privacy-and-security,en-US
1261130,1559834947,1559836347,Trying to change Firefox password.  Do not receive email message. (It is not in my spamcatcher),"<p>Using laptop with Windows 10.   Went to Firefox Help.  Tried to change the password but not my username.  Received a message that notification had been made to my email.  I have not received anything at my email.  
I am concerned because have received a message purportedly from a hacker and wish to change old passwords, such as the one on my Firefox account that has not been updated ever. 
As I was setting up my community account just now and received a message to confirm this my email account.  This email account confirmation was delivered to my email.
</p>",firefox-670;privacy-and-security_1;desktop;windows-10;,firefox,privacy-and-security,en-US
1261129,1559835941,1559835941,I do not want to click the Home icon to get to my home page every time I open Firefox. I do not want to go through the sync process every time.,"<p>I do not want to sync every time I open Firefox.  I want it to go straight to my home page.  I do not want to click the little house icon every time I open Firefox.  Is this possible?  The numerous extra steps with the new Firefox make it unusable.  I also do not want to go through a sync process every time to bring up my bookmark sidebar.
</p>",firefox-670;firefox-6701;customize;desktop;mac-os;,firefox,customize,en-US
1261127,1559833590,1559841094,Several websites do not recognize my computer,"<p>Using firefox with win 10   Several websites do not recognize my computer and always require me to answer security questions prior to logging on.   I did not have this issue prior to win 10
</p>",firefox-600;websites;desktop;windows-10;,firefox,websites,en-US
1261126,1559833009,1559839609,Twice now after an update Firefox forgets it is set to open on gmail login page,"<p>Hi folks,
</p><p>Just had the last update. Like last time, starting Firefox after installing I get a new tab instead of the login page of gmail. The setting in Options is still correct for gmail. With the previous update it took 2 days before it remembered suddenly... It's not the end of the world, of course... but kind of irritating :-)
</p><p>Anybody an idea what is going wrong there?
</p><p>Tx &amp; Grts
Nil
</p>",firefox-670;other;desktop;,firefox,other,en-US
1261125,1559832776,1559833146,Different browser behavior on different browsers for privacy settings,"<p>I have Firefoxes with alomst identical default profile, lets say they are two Firefoxes on different machines. Perhaps their profile is a bit different, but mostly default settings
</p><p>When I change preferences like on screen in one browser I don't see shield near url in address bar, but in another browser with THIS preferences I do see shield with both two checkboxes on or off. (Checkboxes for ""Trackers"" and ""Cookies"") 
</p><p>Which behavior is ""default"" or ""normal"" or ""correct"" for current Firefox version?
</p><p>default checkbox's values were changing in different releases
</p>",tabs;firefox-680;beta;desktop;windows-10;,firefox,tabs,en-US
1261124,1559831697,1559853042,"videos from CNN and Fox news will not show, but will play and I can hear them","<p>I just started to use Firefox and am having a problem seeing the video for Fox and CNN News. Youtube works great, best picture I've seen. The links work good on Chrome, but, when I play them on Firefox the video seems to have a black box across the screen. I can see a very small top and bottom section, that's all. 
I have the lastest Firefox, Flash and Shockwave. I have disabled the Adblocker and the Ublock with no change. I've searched the forums and cannot find an answer, or I'm subject blind. 
</p><p>Any ideas
</p>",firefox-670;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US
1261123,1559831369,1559832226,why C:\Program Files\Mozilla Firefox\browser\chrome\icons\default\main-window.ico stoped working?,"<p>it used to be possible to change Firefox icon for taskbar while Firefox is open and it worked by adding ico file in this directory:  C:\Program Files\Mozilla Firefox\browser\chrome\icons\default\main-window.ico its not working anymore, is there other way or is that the end of customization? 
Regards,
Roly
</p>",firefox-670;other;desktop;windows-10;,firefox,other,en-US
